date,city,store,note
2026-02-26,Paris,Le 28,
2026-02-27,Paris,Aux Délices de Saint Antoine,
2026-03-01,Paris,Paul - Forum des Halles Kiosque,
2026-03-02,Paris,Paul - Franklin Roosevelt,
2026-03-04,Paris,Le Blé d'Or,cancelled
2026-03-05,Paris,AUX PETITS CAKES,
2026-03-07,Paris,Saveurs de Pâtisseries,
2026-03-09,Paris,Saveurs de Pâtisseries,
2026-03-11,London,Change Please - Devonshire Square,refunded
2026-03-11,London,Grid Studios,
2026-03-12,London,Abokado - Blackfriars,
2026-03-13,London,Cafe W - Trafalgar Sq.,
2026-03-15,London,The Vincent Rooms - Westminster,
2026-04-03,Paris,Paul - Franklin Roosevelt,
2026-04-05,Paris,Saveurs de Pâtisseries,
2026-04-07,Copenhagen,Bagt - Borgergade,
2026-04-08,Copenhagen,føtex City - H.C Ørstedsvej,
2026-04-09,Copenhagen,Q8 - Nyropsgade,cancelled
2026-05-11,Paris,Eric Kayser - 14 Monge,
2026-05-12,Paris,La Régale,
2026-05-13,Paris,Saveurs de Pâtisseries,refunded
2026-05-20,Paris,Boulangerie Arwa,
2026-05-24,Paris,Paul - Paris Seine,
