date,trip,mode,from,to,duration_hr,distance_km,cost_usd,operator,notes
2026-03-02,trip2,flight,Home,Paris,,,,,arrival
2026-03-08,trip2,train,Paris,Amsterdam,3.3,510,79,Thalys,
2026-03-13,trip2,train,Amsterdam,Brussels,1.9,210,29,NS/SNCB,
2026-03-16,trip2,train,Brussels,Cologne,1.8,220,42,DB ICE,
2026-03-19,trip2,train,Cologne,Berlin,4.4,570,55,DB ICE,
2026-03-26,trip2,train,Berlin,Munich,4.0,585,68,DB ICE,
2026-03-30,trip2,train,Munich,Innsbruck,1.8,165,25,DB/OBB,
2026-04-03,trip2,train,Innsbruck,Zurich,3.6,290,53,OBB EC,
2026-04-07,trip2,train,Zurich,Interlaken,2.0,120,32,SBB,
2026-04-12,trip2,train,Interlaken,Lucerne,1.9,70,30,SBB,scenic
2026-04-15,trip2,train,Lucerne,Turin,4.7,300,41,SBB/Trenitalia,
2026-04-18,trip2,train,Turin,Florence,3.0,430,35,Trenitalia,
2026-04-23,trip2,train,Florence,Rome,1.5,260,30,Trenitalia,
2026-04-29,trip2,train,Rome,Bologna,2.2,360,28,Italo,
2026-05-02,trip2,train,Bologna,Lyon,5.6,600,64,TGV,
2026-05-06,trip2,train,Lyon,Bordeaux,4.4,530,44,TGV,
2026-05-10,trip2,bus,Bordeaux,San Sebastian,3.2,230,18,FlixBus,
2026-05-14,trip2,train,San Sebastian,Bilbao,2.7,100,10,Euskotren,
2026-05-18,trip2,train,Bilbao,Porto,7.5,470,45,Renfe/CP,long day
2026-05-23,trip2,train,Porto,Lisbon,2.8,310,27,CP IC,
2026-05-30,trip2,flight,Lisbon,Home,,,214,,departure
