stop_number,city,country,transport,arrival_date,departure_date
0,"Huntsville, AL",USA,,,
1,"Nashville, TN",USA,Voiture,2025-06-24,2025-06-24
2,Paris,France,Avion,2025-06-25,2025-06-27
3,Marseille,France,Train,2025-06-27,2025-06-30
4,Barcelona,Spain,Train,2025-06-30,2025-07-04
5,Nice,France,Train,2025-07-04,2025-07-06
6,Monaco-Ville,Monaco,Train,2025-07-06,2025-07-06
7,Nice,France,Train,2025-07-06,2025-07-06
8,Lyon,France,Bus,2025-07-07,2025-07-07
9,Annecy,France,Bus,2025-07-07,2025-07-08
10,Chamonix,France,Bus,2025-07-08,2025-07-11
11,Interlaken,Switzerland,Train,2025-07-11,2025-07-17
12,Kandersteg,Switzerland,Train,2025-07-15,2025-07-15
13,Interlaken,Switzerland,Train,2025-07-15,2025-07-15
14,Mürren,Switzerland,Train,2025-07-17,2025-07-17
15,Interlaken,Switzerland,Train,2025-07-17,2025-07-17
16,Zermatt,Switzerland,Train,2025-07-17,2025-07-18
17,Milan,Italy,Train,2025-07-18,2025-07-21
18,Florence,Italy,Bus,2025-07-21,2025-07-23
19,Rome,Italy,Bus,2025-07-23,2025-07-28
20,Vatican City,Vatican City,Walk,2025-07-25,2025-07-25
21,Rome,Italy,Walk,2025-07-25,2025-07-25
22,Santa Marinella,Italy,Train,2025-07-27,2025-07-27
23,Rome,Italy,Train,2025-07-28,2025-07-28
24,Naples,Italy,Bus,2025-07-28,2025-07-28
25,Ercolano,Italy,Train,2025-07-28,2025-07-31
26,Sorrento,Italy,Train,2025-07-29,2025-07-29
27,Ercolano,Italy,Train,2025-07-29,2025-07-29
28,Amalfi,Italy,Bus,2025-07-30,2025-07-30
29,Ercolano,Italy,Bus,2025-07-31,2025-07-31
30,Bari,Italy,Train,2025-07-31,2025-07-31
31,Durrës,Albania,Bateau,2025-08-01,2025-08-01
32,Tirana,Albania,Bus,2025-08-01,2025-08-03
33,Budapest,Hungary,Avion,2025-08-04,2025-08-05
34,Břeclav,Czechia,Train,2025-08-05,2025-08-05
35,Ostrava,Czechia,Train,2025-08-06,2025-08-06
36,Kraków,Poland,Train,2025-08-06,2025-08-07
37,Warsaw,Poland,Train,2025-08-07,2025-08-09
38,Prague,Czechia,Train,2025-08-09,2025-08-13
39,Berlin,Germany,Train,2025-08-13,2025-08-15
40,Amsterdam,Netherlands,Train,2025-08-15,2025-08-18
41,Paris,France,Train,2025-08-18,2025-08-21
42,"Nashville, TN",USA,Avion,2025-08-21,2025-08-21
43,"Huntsville, AL",USA,,,
